"subject"	"activity"	"tBodyAcc.mean...X"	"tBodyAcc.mean...Y"	"tBodyAcc.mean...Z"	"tBodyAcc.std...X"	"tBodyAcc.std...Y"	"tBodyAcc.std...Z"	"tGravityAcc.mean...X"	"tGravityAcc.mean...Y"	"tGravityAcc.mean...Z"	"tGravityAcc.std...X"	"tGravityAcc.std...Y"	"tGravityAcc.std...Z"	"tBodyAccJerk.mean...X"	"tBodyAccJerk.mean...Y"	"tBodyAccJerk.mean...Z"	"tBodyAccJerk.std...X"	"tBodyAccJerk.std...Y"	"tBodyAccJerk.std...Z"	"tBodyGyro.mean...X"	"tBodyGyro.mean...Y"	"tBodyGyro.mean...Z"	"tBodyGyro.std...X"	"tBodyGyro.std...Y"	"tBodyGyro.std...Z"	"tBodyGyroJerk.mean...X"	"tBodyGyroJerk.mean...Y"	"tBodyGyroJerk.mean...Z"	"tBodyGyroJerk.std...X"	"tBodyGyroJerk.std...Y"	"tBodyGyroJerk.std...Z"	"tBodyAccMag.mean.."	"tBodyAccMag.std.."	"tGravityAccMag.mean.."	"tGravityAccMag.std.."	"tBodyAccJerkMag.mean.."	"tBodyAccJerkMag.std.."	"tBodyGyroMag.mean.."	"tBodyGyroMag.std.."	"tBodyGyroJerkMag.mean.."	"tBodyGyroJerkMag.std.."	"fBodyAcc.mean...X"	"fBodyAcc.mean...Y"	"fBodyAcc.mean...Z"	"fBodyAcc.std...X"	"fBodyAcc.std...Y"	"fBodyAcc.std...Z"	"fBodyAccJerk.mean...X"	"fBodyAccJerk.mean...Y"	"fBodyAccJerk.mean...Z"	"fBodyAccJerk.std...X"	"fBodyAccJerk.std...Y"	"fBodyAccJerk.std...Z"	"fBodyGyro.mean...X"	"fBodyGyro.mean...Y"	"fBodyGyro.mean...Z"	"fBodyGyro.std...X"	"fBodyGyro.std...Y"	"fBodyGyro.std...Z"	"fBodyAccMag.mean.."	"fBodyAccMag.std.."	"fBodyBodyAccJerkMag.mean.."	"fBodyBodyAccJerkMag.std.."	"fBodyBodyGyroMag.mean.."	"fBodyBodyGyroMag.std.."	"fBodyBodyGyroJerkMag.mean.."	"fBodyBodyGyroJerkMag.std.."
"1"	1	"LAYING"	0.2863812184	-0.019721560038	-0.11708590414	-0.65420948758	-0.589826238698	-0.597272067532	0.5752889752	0.111674021836	0.277569692534	-0.9682452158	-0.9639713336	-0.9428016642	0.052958538826	0.0376304725874	-0.0165747859532	-0.711971014434	-0.70659390856	-0.8135599836	-0.087866332092	-0.066557182268	0.0719643742	-0.7366072187	-0.6438802211	-0.65295963094	-0.11898783818	-0.027598390144	-0.0570365216	-0.78250200068	-0.8439476496	-0.7861581276	-0.597607483328	-0.63830970148	-0.597607483328	-0.63830970148	-0.7272291096	-0.7131665423	-0.599675762226	-0.6292264376	-0.8177273172	-0.8327191712	-0.66450628112	-0.622590670958	-0.68688116254	-0.65104036398	-0.60156690992	-0.5878871986	-0.71711591156	-0.71449556136	-0.79291583834	-0.73311014666	-0.71877072826	-0.8331804212	-0.70964093228	-0.71842752124	-0.67023844038	-0.74842648738	-0.61140498548	-0.68140138492	-0.64328639902	-0.693144223834	-0.69920746394	-0.73452396444	-0.7190213527	-0.64016199359	-0.8341882888	-0.8429743972
"2"	2	"LAYING"	0.28068267875	-0.01743458313125	-0.103770429333333	-0.622335883304167	-0.5872995244375	-0.641022127604167	0.610424795833333	0.0880782816729167	0.181264483302083	-0.9764334675	-0.956526399791667	-0.948736168125	0.0829778247916667	0.03940709130625	-0.00116845562541667	-0.679862667041667	-0.662582223604167	-0.804010839166667	-0.0274822528811458	-0.0858732148125	0.1061672254375	-0.734301126375	-0.666002158854167	-0.674558079020833	-0.0854233597291667	-0.039925678359375	-0.0603342536479167	-0.765278960833333	-0.84163141875	-0.772368721041667	-0.586288858325	-0.610166259645833	-0.586288858325	-0.610166259645833	-0.70048492935	-0.672612136095833	-0.611199253654167	-0.6505605268125	-0.808821964375	-0.828659483958333	-0.633623934654167	-0.593827341227083	-0.69204762625	-0.6187719665625	-0.61350297011875	-0.644696301104167	-0.683592595727083	-0.670770116391667	-0.778495123333333	-0.705512303020833	-0.677547127291667	-0.829070239166667	-0.696670470791667	-0.725812103875	-0.670594894458333	-0.749423815791667	-0.6384861618125	-0.708564151875	-0.6233131211875	-0.66407719	-0.664291299604167	-0.684875393166667	-0.721893851979167	-0.668901306875	-0.83154339125	-0.83701825375
"3"	3	"LAYING"	0.287113192096774	-0.0168224475424194	-0.107013895774194	-0.572178786177419	-0.563212768241935	-0.631621281516129	0.774691456935484	-0.0941079691129032	0.0214322952274194	-0.979790489516129	-0.96989909	-0.949299413870968	0.100531967903226	0.0107595052979032	0.0052545607733871	-0.628355050019355	-0.6311063297	-0.773300180322581	-0.0594312051209677	-0.0612945731451613	0.0641767714016129	-0.696621354637097	-0.695790771354839	-0.663378487129032	-0.0898908128532258	-0.0495675573096774	-0.0444780085903226	-0.717474629806452	-0.826591187419355	-0.748554836451613	-0.548698348682258	-0.567239126467742	-0.548698348682258	-0.567239126467742	-0.653365325822581	-0.633140976683871	-0.60603899466129	-0.648889373806452	-0.779538786129032	-0.813572294032258	-0.585004537516129	-0.569228921004839	-0.679149691129032	-0.568288031854839	-0.588568293935484	-0.6385978835	-0.636294788166129	-0.644894206206452	-0.747780933709677	-0.654526945048387	-0.642268365404839	-0.79832501016129	-0.640970649740323	-0.738321189193548	-0.660523393032258	-0.716860776080645	-0.679812574693548	-0.696928777258065	-0.579597344553226	-0.628537818369355	-0.624175869045161	-0.647361398725806	-0.706861939193548	-0.673875158741935	-0.810408647096774	-0.831302031935484
"4"	4	"LAYING"	0.276126383518519	-0.0166957064453704	-0.113615960781481	-0.571118203351852	-0.576697367111111	-0.638373637	0.826811097777778	-0.0192977118148148	0.075066136762963	-0.970630721666667	-0.963420784074074	-0.938885942407407	0.0700043151296296	0.0094199061	-0.0193043864974074	-0.631324346366667	-0.626364956611111	-0.751553642592593	-0.0527330500740741	-0.0698987924388889	0.0879991835796296	-0.745314097222222	-0.776288918925926	-0.636662728648148	-0.100528639427778	-0.0298521436407407	-0.0813657499259259	-0.780211518703704	-0.842357013333333	-0.739100465740741	-0.542794267759259	-0.603468621407407	-0.542794267759259	-0.603468621407407	-0.643622194259259	-0.636226260481481	-0.634334047627778	-0.713696370055556	-0.803633585740741	-0.834840205	-0.616660118435185	-0.588662835092593	-0.67296600537037	-0.556473286407407	-0.598777641277778	-0.650279513444444	-0.652768684742593	-0.64611977037037	-0.734296463888889	-0.642387643055556	-0.63138300662963	-0.767594130925926	-0.707974776685185	-0.785236576296296	-0.653443900555556	-0.758669117407407	-0.775375822407407	-0.667428191537037	-0.601011042796296	-0.667492564294444	-0.627968013685185	-0.649265534777778	-0.75778475	-0.734183528796296	-0.834959978703704	-0.846514698333333
"5"	5	"LAYING"	0.28882006	-0.0175053253153846	-0.108934586596154	-0.620765114288461	-0.621534343082692	-0.643530218965385	0.682701010576923	0.0828999923269231	0.165292320413462	-0.962683786923077	-0.965347722115385	-0.941499735192308	0.093463565975	-0.0277201329675	0.0352065811982692	-0.671794189258269	-0.684132255	-0.807869184423077	-0.0572952576923077	-0.0485044600673077	0.132398174272692	-0.745190600769231	-0.679606759615385	-0.705874777423077	-0.0878205166185961	-0.0404908932134615	-0.101980420744231	-0.770250345	-0.853110497307692	-0.788916479423077	-0.601076112576923	-0.598410535846154	-0.601076112576923	-0.598410535846154	-0.704633196846154	-0.669006313	-0.619542863730769	-0.664686748865385	-0.820547592692308	-0.837146534423077	-0.634283245490385	-0.619074926192308	-0.709358585711538	-0.616175676865385	-0.648775597365385	-0.641064174235385	-0.676874785792308	-0.691147215213462	-0.785062668653846	-0.69693526575	-0.698873940363462	-0.829943217692308	-0.714318167557692	-0.7477932575	-0.691866580423077	-0.757733408	-0.650726345346154	-0.739260055711538	-0.609350234011538	-0.656369121098077	-0.660304720931538	-0.682259535923077	-0.729474856392308	-0.68357345625	-0.834745009807692	-0.851962633653846
"6"	6	"LAYING"	0.270011204368421	-0.0225774601491228	-0.105337353578947	-0.659703217578947	-0.586102968863158	-0.695276982982456	0.63859092245614	0.109108207298246	0.259085179875439	-0.959904567192982	-0.963920324736842	-0.952904570526316	0.062188579122807	0.0106004428210526	-0.00334609536491228	-0.731143359298246	-0.709812107438596	-0.811029454385965	0.00455646522280702	-0.100129450787719	0.110260949778947	-0.73438433245614	-0.780027218421053	-0.72356854	-0.0926773152105263	-0.0388239385877193	-0.0516524214964912	-0.767061747719298	-0.873029054736842	-0.797172105438597	-0.62345172377193	-0.653656474263158	-0.62345172377193	-0.653656474263158	-0.734612778245614	-0.725664733157895	-0.668344100824561	-0.721043937157895	-0.830745993859649	-0.850277886491228	-0.68876248754386	-0.62460830722807	-0.741133458245614	-0.649577390157895	-0.593373888975439	-0.697261396473684	-0.742270938070175	-0.726660934035088	-0.800550259824561	-0.744166148421053	-0.711305898115789	-0.819997527368421	-0.706674165719298	-0.808501161754386	-0.715788114912281	-0.745184991403509	-0.767465264210526	-0.751891803508772	-0.668424775754386	-0.700028798691228	-0.72195935754386	-0.732992835807018	-0.768247011578947	-0.73923446745614	-0.854043140526316	-0.855999026491228
"7"	7	"LAYING"	0.288110012307692	-0.0206824610480769	-0.118076752480769	-0.656093263653846	-0.597048068703846	-0.710468363653846	0.710963814423077	-0.0372815969615385	0.121196031488462	-0.977759874230769	-0.958075491153846	-0.960869728846154	0.0918016573346154	-0.000753300452903846	-0.0126713984134615	-0.694315693865385	-0.682681904634615	-0.794000961730769	0.0152689498461538	-0.0938736123076923	0.0579901423442308	-0.776341299615385	-0.806734572692308	-0.710053818519231	-0.0957375813461538	-0.0463969535903846	-0.0336804847692308	-0.751085990673077	-0.845142913076923	-0.779600347115385	-0.628977938980769	-0.6449431405	-0.628977938980769	-0.6449431405	-0.710123870403846	-0.682552115788462	-0.698767649423077	-0.749512302307692	-0.811126928076923	-0.8240340125	-0.678403668038462	-0.618884725269231	-0.735080648076923	-0.648818156769231	-0.611793586884615	-0.720336554807692	-0.708896862692308	-0.699819425961538	-0.785247864615385	-0.707046530211539	-0.685644379865385	-0.801437853076923	-0.712975690096154	-0.8071576525	-0.703792553076923	-0.797215648461538	-0.808314215769231	-0.739676025384615	-0.647926487692308	-0.699210038384615	-0.682502337826923	-0.685534579211538	-0.774274561730769	-0.777083327692308	-0.832233241346154	-0.826251973846154
"8"	8	"LAYING"	0.267149793972222	-0.0136463024666667	-0.11214064995	-0.616668496425926	-0.544958947868519	-0.59741340193	0.646834676111111	0.0725675714444445	0.171365477898148	-0.957043033888889	-0.951174833703704	-0.927994018888889	0.081498959612963	0.0288763898711111	-0.00642603323592593	-0.673755163203704	-0.650920352437963	-0.780487513703704	-0.0828099650888889	-0.0493492906666667	0.134767599510926	-0.738705043518519	-0.693700774777778	-0.6279984895	-0.0790643707222222	-0.0442400691577778	-0.0788630688592593	-0.759690053148148	-0.836571776851852	-0.768763395925926	-0.562145876740741	-0.603105411537037	-0.562145876740741	-0.603105411537037	-0.682113901759259	-0.670037069555556	-0.601269644981481	-0.681479009407407	-0.801443438518519	-0.82882035462963	-0.636450493166667	-0.571077490092593	-0.669567220203704	-0.609781031240741	-0.561772174474074	-0.59345006037037	-0.681005073833333	-0.671723053888889	-0.763996515185185	-0.696173096259259	-0.651976600616667	-0.796048777037037	-0.694387340055556	-0.743176572037037	-0.650432587962963	-0.754241483518518	-0.671848350716667	-0.656076232796296	-0.612258502348148	-0.661410071703704	-0.659635169737037	-0.685450044814815	-0.732432021955556	-0.705053882611111	-0.828474242222222	-0.842033282592593
"9"	9	"LAYING"	0.2597214125	-0.01678412524	-0.09245396016	-0.62867631666	-0.54654231018	-0.61721839312	0.6521421336	0.00878567998	0.1258778567	-0.9738912952	-0.9642837888	-0.953991302	0.071317831454	0.0276399974642	0.0375046286252	-0.67300232944	-0.64306845808	-0.789671127	-0.017208736794	-0.06180363802	0.09304922884	-0.7387702664	-0.69786325236	-0.60830973896	-0.079695607216	-0.046788597305	-0.064385761364	-0.7575481062	-0.8232088432	-0.7620524972	-0.570190136122	-0.62707560504	-0.570190136122	-0.62707560504	-0.6804128384	-0.6773998677	-0.6134151398464	-0.69267986866	-0.7948634638	-0.8149772804	-0.64671183438	-0.57607751476	-0.6806285816	-0.62311526788	-0.56261603122	-0.615412186	-0.687830472002	-0.66122411654	-0.768681047	-0.6866742152	-0.6479727125	-0.8096410296	-0.7058004344	-0.7281950558	-0.65136763736	-0.75195640678	-0.68515984818	-0.6324586382	-0.63207966842	-0.68434534758	-0.67285741194	-0.68549706928	-0.7397600274	-0.71586331064	-0.8141479698	-0.8292946624
"10"	10	"LAYING"	0.277502243036207	-0.0206480487735328	-0.0976501589534483	-0.503699876534483	-0.423104130551724	-0.516226720689655	0.688562377931034	0.0292198361896552	0.117328565893276	-0.961928855	-0.958916463275862	-0.939483183793103	0.0805481903431035	-0.00726439350517241	-0.0108466475808621	-0.561714938534483	-0.496629946081035	-0.696168026896552	-0.0401367233277586	-0.0677992107810345	0.0969290899482759	-0.641430908913793	-0.57425654287931	-0.539224585506897	-0.076178752785	-0.0627432526465517	-0.0474405020465517	-0.683453000012069	-0.767759501206897	-0.67485731	-0.450649084243793	-0.500921355172414	-0.450649084243793	-0.500921355172414	-0.565686228965517	-0.535780669825862	-0.493386922772414	-0.580350481637931	-0.727267539827586	-0.759425092413793	-0.517960111372414	-0.42972363692069	-0.576308726189655	-0.499085419534483	-0.457055142174138	-0.525942797017241	-0.572459868017241	-0.526900523413793	-0.668648781724138	-0.590235896172414	-0.497970788717241	-0.722930915172414	-0.584210855310345	-0.627153580017241	-0.544177972581035	-0.662000978241379	-0.550956097913793	-0.581229374431035	-0.483740082768966	-0.589290544215517	-0.532129961756897	-0.544439024872414	-0.641646856051724	-0.614749195327586	-0.762161727241379	-0.773165093793103
